Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Amir Coffey,SG,24,LAC,62,28,23.6,3.0,6.9,.442,1.4,3.7,.362,1.7,3.1,.539,.541,1.5,1.7,.849,0.4,2.4,2.8,1.8,0.5,0.2,0.7,1.3,8.9,12.1,.583,.546,.249,1.8,10.6,6.3,10.7,1.1,0.8,8.2,15.4,1.8,1.2,3.0,.099,-0.9,-0.1,-1.0,0.4,"$153,488"
Andre Drummond,C,28,TOT,66,29,19.4,3.2,5.7,.570,0.0,0.0,.000,3.2,5.6,.574,.570,1.2,2.3,.510,3.0,6.0,9.1,1.8,1.1,0.9,1.7,2.6,7.7,20.7,.571,.008,.414,17.5,34.0,25.9,14.4,2.7,4.3,19.8,19.1,1.6,2.8,4.3,.163,-0.4,1.5,1.1,1.0,"$2,401,537"
Andre Iguodala,SF,38,GSW,27,0,19.8,1.6,3.9,.400,0.6,2.3,.238,1.0,1.6,.643,.471,0.5,0.7,.778,0.8,2.5,3.3,3.7,0.8,0.8,0.9,1.0,4.2,13.1,.500,.600,.171,4.4,13.5,9.1,24.8,2.0,3.8,16.9,11.1,0.6,0.9,1.5,.138,-0.2,3.5,3.4,0.7,"$2,641,691"
Andrew Wiggins,SF,26,GSW,68,68,31.8,6.5,14.0,.464,2.1,5.4,.386,4.4,8.6,.514,.539,2.0,3.1,.638,1.1,3.3,4.5,2.2,1.1,0.7,1.5,2.1,17.1,15.1,.556,.389,.224,4.0,11.1,7.7,11.0,1.6,2.1,8.9,23.1,1.7,3.0,4.7,.104,0.3,0.0,0.3,1.3,"$31,579,390"
Anfernee Simons,SG,22,POR,57,30,29.5,6.2,14.0,.443,3.1,7.8,.405,3.1,6.2,.490,.555,1.8,2.0,.888,0.5,2.2,2.6,3.9,0.5,0.1,2.0,1.9,17.3,15.4,.583,.555,.146,1.6,8.5,4.9,22.0,0.9,0.4,11.9,24.7,2.2,-0.1,2.2,.061,2.0,-2.7,-0.7,0.6,"$3,938,818"
Anthony Davis,C,28,LAL,37,37,35.1,9.2,17.2,.537,0.3,1.8,.182,8.9,15.4,.578,.546,4.4,6.1,.709,2.8,6.9,9.7,2.9,1.2,2.3,2.1,2.5,23.1,24.1,.582,.104,.357,8.6,21.1,14.9,13.9,1.7,5.9,9.4,26.9,2.5,1.8,4.4,.162,2.5,1.1,3.7,1.9,"$35,361,360"
Anthony Edwards,SG,20,MIN,66,66,34.4,7.5,17.2,.434,3.0,8.4,.357,4.5,8.9,.507,.521,3.0,3.8,.780,0.8,3.9,4.7,3.7,1.5,0.7,2.7,2.3,21.0,16.0,.553,.485,.223,2.6,12.2,7.3,16.9,2.1,1.9,12.5,26.3,1.3,2.4,3.7,.078,1.3,-0.3,1.0,1.7,"$10,245,480"
Anthony Gill,PF,29,WAS,37,0,9.0,1.3,2.0,.640,0.3,0.5,.611,1.0,1.5,.649,.713,0.8,1.0,.757,0.6,1.1,1.7,0.6,0.1,0.3,0.3,1.2,3.6,16.5,.739,.240,.493,7.7,12.7,10.2,9.1,0.6,2.5,11.6,13.8,1.0,0.2,1.2,.172,0.1,-0.8,-0.6,0.1,"$1,517,981"
Armoni Brooks,SG-PG,23,TOT,50,9,16.0,1.9,5.6,.345,1.5,4.8,.303,0.5,0.8,.600,.475,0.3,0.4,.842,0.4,1.5,1.9,1.2,0.5,0.2,0.5,1.4,5.7,8.8,.489,.858,.068,2.5,10.5,6.5,10.6,1.6,1.3,8.2,16.7,-0.1,0.3,0.3,.015,-2.3,-1.4,-3.6,-0.3,"$1,625,991"
Armoni Brooks,SG-PG,23,TOT,50,9,16.0,1.9,5.6,.345,1.5,4.8,.303,0.5,0.8,.600,.475,0.3,0.4,.842,0.4,1.5,1.9,1.2,0.5,0.2,0.5,1.4,5.7,8.8,.489,.858,.068,2.5,10.5,6.5,10.6,1.6,1.3,8.2,16.7,-0.1,0.3,0.3,.015,-2.3,-1.4,-3.6,-0.3,"$1,625,991"
