Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Chris Duarte,SG,24,IND,55,39,28.0,4.9,11.3,.432,1.7,4.6,.369,3.2,6.7,.475,.507,1.6,2.0,.804,0.7,3.4,4.1,2.1,1.0,0.2,1.6,1.7,13.1,12.4,.537,.411,.180,2.9,13.5,8.1,10.9,1.8,0.6,11.8,21.2,0.3,0.8,1.1,.034,-1.2,-1.1,-2.2,-0.1,"$3,749,520"
Chris Paul,PG,36,PHO,60,60,33.0,5.7,11.5,.491,1.0,3.1,.330,4.6,8.4,.552,.536,2.7,3.2,.847,0.3,4.2,4.5,10.8,1.8,0.3,2.4,2.0,15.0,21.1,.582,.272,.273,1.0,13.2,7.3,44.2,2.7,0.9,15.5,20.0,5.6,3.3,8.8,.214,3.3,2.2,5.5,3.8,"$30,800,000"
Christian Wood,C,26,HOU,68,67,30.8,6.5,12.9,.501,1.9,4.9,.390,4.5,8.0,.570,.576,3.0,4.9,.623,1.6,8.5,10.1,2.3,0.8,1.0,1.9,2.5,17.9,19.2,.595,.383,.378,5.7,30.3,18.0,12.3,1.2,2.8,11.0,23.3,3.0,2.0,5.0,.114,2.1,-0.5,1.6,1.9,"$13,666,667"
Chuma Okeke,PF,23,ORL,64,14,24.7,3.0,8.1,.376,1.6,5.0,.313,1.5,3.0,.482,.474,0.8,1.0,.852,0.7,4.2,4.8,1.7,1.4,0.6,0.8,1.3,8.5,12.0,.498,.626,.118,2.9,17.9,10.4,10.3,2.7,2.2,8.9,16.3,-0.3,2.2,2.0,.060,-1.7,1.6,-0.1,0.8,"$3,277,080"
Clint Capela,C,27,ATL,67,66,27.8,4.9,8.2,.605,0.0,0.0,.000,4.9,8.1,.606,.605,1.0,2.2,.466,3.7,8.1,11.8,1.3,0.7,1.3,0.6,2.2,10.9,20.9,.597,.002,.271,14.9,31.8,23.4,6.9,1.2,4.1,6.6,15.4,4.8,2.3,7.2,.185,2.0,-0.3,1.7,1.7,"$17,103,448"
Coby White,PG,21,CHI,55,16,27.4,4.7,10.6,.439,2.2,5.8,.388,2.4,4.8,.500,.545,1.3,1.5,.859,0.3,2.7,3.0,2.9,0.5,0.2,1.1,2.2,12.9,13.2,.571,.544,.146,1.2,11.1,6.2,15.3,0.8,0.6,9.1,19.9,1.7,0.8,2.5,.079,-0.1,-1.6,-1.7,0.1,"$5,837,760"
Cody Martin,SF,26,CHO,65,11,26.4,2.8,6.0,.468,0.9,2.3,.392,1.9,3.8,.514,.542,1.1,1.6,.692,1.2,2.9,4.0,2.5,1.2,0.5,0.9,1.7,7.7,12.3,.568,.377,.265,4.5,11.7,8.0,12.2,2.2,1.6,11.9,12.3,1.9,1.4,3.4,.094,-1.4,0.7,-0.8,0.6,"$1,782,621"
Cody Zeller,C,29,POR,27,0,13.1,1.9,3.3,.567,0.0,0.1,.000,1.9,3.2,.593,.567,1.4,1.8,.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2,17.3,.627,.044,.544,14.9,24.0,19.3,9.3,1.1,1.7,14.6,15.9,0.9,0.2,1.1,.146,-1.1,-1.0,-2.1,0.0,"$2,389,641"
Cole Anthony,PG,21,ORL,62,62,32.3,5.6,14.4,.393,2.1,6.2,.340,3.5,8.1,.434,.467,3.4,4.0,.851,0.5,5.0,5.5,5.8,0.7,0.3,2.7,2.6,16.8,13.8,.521,.433,.279,1.6,16.3,8.9,29.2,1.1,0.7,14.2,25.1,0.2,1.7,1.9,.044,-0.4,-0.7,-1.0,0.5,"$3,449,400"
Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,.450,1.0,4.1,.244,5.2,9.6,.538,.487,2.6,3.5,.744,1.2,2.1,3.3,2.1,0.9,0.0,2.8,2.3,16.0,11.3,.523,.298,.258,4.6,7.9,6.3,12.0,1.6,0.0,15.6,27.9,-0.3,0.3,0.0,-0.003,-3.4,-0.6,-4.1,-0.2,"$6,349,671"
Corey Kispert,SF,22,WAS,69,28,22.4,2.9,6.4,.454,1.4,4.0,.352,1.5,2.5,.618,.562,0.7,0.8,.852,0.7,1.9,2.6,1.0,0.4,0.3,0.6,1.1,7.9,11.0,.583,.616,.122,3.7,9.0,6.4,6.6,0.9,1.2,8.6,14.7,1.4,0.6,2.0,.061,-0.7,-1.7,-2.4,-0.2,"$3,383,640"
Cory Joseph,PG,30,DET,63,37,24.7,2.8,6.1,.452,1.0,2.4,.420,1.8,3.8,.473,.534,1.5,1.7,.880,0.4,2.2,2.7,3.7,0.6,0.3,1.3,2.3,8.1,11.6,.585,.388,.279,1.9,10.3,5.9,22.3,1.3,1.0,16.0,14.2,1.8,0.8,2.6,.080,-1.9,-0.1,-2.1,0.0,"$7,310,000"
D'Angelo Russell,PG,25,MIN,61,61,32.0,6.2,15.0,.412,2.7,8.0,.342,3.5,7.0,.492,.503,2.9,3.5,.823,0.4,3.0,3.4,7.1,0.9,0.4,2.5,2.0,18.0,16.5,.543,.533,.234,1.3,10.1,5.6,33.4,1.4,1.1,13.2,25.0,2.8,1.5,4.3,.106,2.4,-1.3,1.0,1.5,"$30,013,500"
D.J. Augustin,PG,34,TOT,47,2,15.6,1.8,4.0,.442,1.3,2.9,.435,0.5,1.1,.462,.600,0.7,0.8,.872,0.2,1.0,1.2,2.0,0.3,0.0,1.1,0.6,5.6,10.8,.632,.726,.205,1.3,7.3,4.3,18.3,1.0,0.0,19.8,15.0,0.7,0.1,0.8,.052,-0.6,-2.5,-3.1,-0.2,"$7,622,467"
D.J. Augustin,PG,34,TOT,47,2,15.6,1.8,4.0,.442,1.3,2.9,.435,0.5,1.1,.462,.600,0.7,0.8,.872,0.2,1.0,1.2,2.0,0.3,0.0,1.1,0.6,5.6,10.8,.632,.726,.205,1.3,7.3,4.3,18.3,1.0,0.0,19.8,15.0,0.7,0.1,0.8,.052,-0.6,-2.5,-3.1,-0.2,"$7,622,467"
Daishen Nix,SG,19,HOU,19,0,10.3,1.2,2.5,.458,0.4,0.9,.389,0.8,1.6,.500,.531,0.7,1.1,.619,0.3,1.2,1.4,1.6,0.7,0.0,0.9,0.7,3.4,11.7,.559,.375,.438,2.8,12.4,7.6,22.7,3.2,0.0,23.9,16.4,0.0,0.1,0.1,.036,-3.4,-0.1,-3.5,-0.1,"$292,466"
Dalano Banton,SF,22,TOR,62,1,11.1,1.3,3.2,.405,0.2,0.8,.255,1.1,2.4,.456,.438,0.4,0.7,.595,0.6,1.4,2.0,1.6,0.4,0.2,0.9,1.1,3.2,9.8,.458,.255,.210,5.5,14.2,9.6,19.6,2.0,1.4,19.5,16.9,-0.4,0.7,0.3,.023,-3.5,0.2,-3.3,-0.2,"$925,258"
Damian Jones,C,26,SAC,50,9,16.6,2.7,4.2,.644,0.2,0.5,.348,2.5,3.7,.681,.663,1.3,1.9,.713,1.3,2.7,4.0,1.1,0.4,0.7,1.0,2.2,6.9,16.9,.688,.111,.452,8.4,18.0,13.1,9.6,1.2,3.5,16.4,15.4,1.7,0.6,2.4,.138,-0.9,0.3,-0.6,0.3,"$1,977,011"
Damian Lillard,PG,31,POR,29,29,36.4,7.7,19.0,.402,3.2,9.8,.324,4.5,9.2,.485,.486,5.5,6.2,.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24.0,18.6,.550,.514,.328,1.3,11.5,6.2,33.6,0.8,1.0,11.6,29.2,1.8,0.1,1.9,.085,4.0,-2.7,1.3,0.9,"$39,344,900"
Damion Lee,SG,29,GSW,59,4,20.0,2.7,6.1,.440,1.1,3.1,.343,1.6,3.0,.539,.526,1.0,1.2,.871,0.4,2.8,3.2,1.0,0.6,0.1,0.6,1.5,7.4,10.9,.563,.504,.195,2.3,14.9,8.7,7.0,1.6,0.4,8.5,15.7,0.9,1.6,2.5,.100,-2.4,0.4,-2.0,0.0,"$1,910,860"
Daniel Gafford,C,23,WAS,64,51,20.0,3.9,5.6,.694,0.0,0.0,,3.9,5.6,.694,.694,1.4,1.9,.707,2.2,3.5,5.7,1.0,0.4,1.4,1.0,2.4,9.1,21.4,.708,.000,.343,12.1,19.2,15.7,7.5,1.0,6.0,13.0,16.5,3.7,1.4,5.2,.193,0.9,0.5,1.4,1.1,"$1,782,621"
Daniel Theis,C,29,TOT,41,22,20.0,2.9,5.8,.498,0.7,2.3,.292,2.2,3.4,.638,.557,1.0,1.5,.672,1.1,3.7,4.8,0.8,0.5,0.7,1.0,2.4,7.4,12.3,.578,.405,.257,6.1,20.0,13.1,6.1,1.1,3.3,13.7,16.0,0.5,0.8,1.3,.074,-2.4,0.1,-2.4,-0.1,"$8,372,093"
Danilo Gallinari,PF,33,ATL,61,15,25.0,3.8,8.8,.425,1.6,4.3,.374,2.1,4.5,.474,.517,2.2,2.5,.907,0.5,4.1,4.6,1.5,0.4,0.2,0.5,1.4,11.4,14.2,.573,.492,.278,2.3,18.0,10.2,8.7,0.8,0.6,5.2,18.3,2.6,0.7,3.3,.102,0.9,-1.3,-0.4,0.6,"$20,475,000"
Danny Green,SF,34,PHI,54,25,21.8,2.0,5.2,.386,1.6,4.4,.364,0.4,0.8,.500,.539,0.2,0.2,.833,0.5,2.0,2.4,1.0,0.9,0.6,0.7,1.7,5.8,9.0,.547,.843,.043,2.4,9.9,6.2,6.2,2.1,2.4,11.8,12.3,0.1,1.4,1.5,.059,-1.7,0.8,-0.9,0.3,"$10,000,000"
Danuel House Jr.,SF,28,TOT,36,5,16.2,1.8,4.4,.409,1.0,2.5,.385,0.8,1.9,.441,.519,1.0,1.3,.778,0.4,2.2,2.6,1.1,0.4,0.4,0.7,1.1,5.6,11.1,.559,.572,.283,2.9,14.5,8.8,9.8,1.2,2.0,12.3,15.1,0.4,0.4,0.9,.072,-0.9,-0.1,-1.0,0.1,"$2,045,094"
Danuel House Jr.,SF,28,TOT,36,5,16.2,1.8,4.4,.409,1.0,2.5,.385,0.8,1.9,.441,.519,1.0,1.3,.778,0.4,2.2,2.6,1.1,0.4,0.4,0.7,1.1,5.6,11.1,.559,.572,.283,2.9,14.5,8.8,9.8,1.2,2.0,12.3,15.1,0.4,0.4,0.9,.072,-0.9,-0.1,-1.0,0.1,"$2,045,094"
Danuel House Jr.,SF,28,TOT,36,5,16.2,1.8,4.4,.409,1.0,2.5,.385,0.8,1.9,.441,.519,1.0,1.3,.778,0.4,2.2,2.6,1.1,0.4,0.4,0.7,1.1,5.6,11.1,.559,.572,.283,2.9,14.5,8.8,9.8,1.2,2.0,12.3,15.1,0.4,0.4,0.9,.072,-0.9,-0.1,-1.0,0.1,"$2,045,094"
Darius Bazley,PF,21,OKC,69,53,27.9,4.0,9.4,.422,1.2,3.9,.297,2.8,5.5,.511,.484,1.7,2.5,.688,1.0,5.3,6.3,1.4,0.8,1.0,1.3,1.0,10.8,12.7,.515,.414,.262,3.7,19.7,11.6,7.8,1.5,3.4,11.1,18.3,-0.4,2.3,1.9,.047,-2.1,0.2,-1.8,0.1,"$2,513,040"
Darius Garland,PG,22,CLE,61,61,35.8,7.9,17.1,.463,2.5,6.8,.369,5.4,10.3,.525,.536,3.2,3.5,.907,0.6,2.8,3.4,8.6,1.2,0.1,3.8,1.8,21.5,18.7,.578,.398,.206,1.8,8.4,5.2,40.2,1.7,0.2,17.0,27.7,3.3,2.4,5.7,.125,3.2,-0.8,2.4,2.5,"$7,040,880"
David Nwaba,SF,29,HOU,45,4,13.2,1.9,3.9,.483,0.3,1.1,.313,1.5,2.8,.548,.526,1.1,1.5,.716,0.9,2.4,3.3,0.8,0.6,0.4,0.5,1.2,5.1,15.4,.568,.276,.385,7.3,20.2,13.7,8.5,2.2,2.9,9.4,16.0,0.8,0.5,1.3,.106,-0.6,-0.1,-0.7,0.2,"$4,650,000"
Davion Mitchell,PG,23,SAC,69,13,26.7,4.5,10.9,.417,1.4,4.3,.323,3.1,6.5,.479,.481,0.6,0.9,.619,0.5,1.8,2.2,3.6,0.8,0.3,1.3,1.8,11.0,10.7,.489,.399,.084,1.9,7.3,4.5,20.0,1.4,0.9,10.7,20.3,-0.4,0.5,0.1,.004,-2.1,-1.6,-3.7,-0.8,"$4,603,320"
Day'Ron Sharpe,PF,20,BRK,32,8,12.2,2.7,4.7,.577,0.1,0.2,.286,2.6,4.4,.592,.584,0.8,1.3,.585,2.5,2.5,5.0,0.5,0.3,0.5,0.9,1.9,6.2,20.8,.593,.047,.275,23.0,21.6,22.3,6.7,1.2,3.4,15.2,21.7,0.8,0.5,1.2,.152,-0.2,-2.5,-2.7,-0.1,"$2,009,040"
De'Aaron Fox,PG,24,SAC,59,59,35.3,8.7,18.5,.473,1.3,4.2,.297,7.5,14.3,.524,.506,4.4,5.9,.750,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,17.6,.549,.228,.319,1.3,10.9,6.0,26.7,1.6,1.0,11.9,29.1,1.7,0.9,2.7,.062,0.7,-1.3,-0.6,0.7,"$28,103,550"
De'Andre Hunter,SF,24,ATL,46,45,30.0,4.8,10.8,.448,1.4,3.7,.378,3.4,7.0,.486,.514,2.3,3.1,.754,0.5,2.7,3.2,1.3,0.8,0.4,1.3,2.9,13.4,10.9,.552,.347,.287,1.8,9.9,5.9,6.3,1.3,1.2,9.6,19.6,0.6,0.5,1.1,.037,-2.2,-1.4,-3.5,-0.5,"$7,775,400"
De'Anthony Melton,SG,23,MEM,67,13,22.4,3.8,9.4,.406,1.9,5.0,.372,2.0,4.4,.443,.504,1.1,1.5,.725,0.9,3.6,4.5,2.6,1.5,0.5,1.5,1.7,10.6,15.4,.525,.528,.162,4.0,17.0,10.4,16.0,3.2,2.0,13.0,21.2,0.8,2.6,3.4,.109,0.3,1.7,2.0,1.5,"$8,437,500"
DeAndre Jordan,C,33,TOT,43,19,13.0,1.8,2.9,.616,0.0,0.0,,1.8,2.9,.616,.616,0.5,0.9,.579,1.8,3.7,5.5,0.4,0.3,0.7,0.8,1.5,4.1,16.4,.621,.000,.304,15.0,30.7,22.9,4.6,1.0,4.9,19.3,13.7,0.7,0.9,1.6,.137,-1.9,0.1,-1.8,0.0,"$11,109,327"
DeAndre Jordan,C,33,TOT,43,19,13.0,1.8,2.9,.616,0.0,0.0,,1.8,2.9,.616,.616,0.5,0.9,.579,1.8,3.7,5.5,0.4,0.3,0.7,0.8,1.5,4.1,16.4,.621,.000,.304,15.0,30.7,22.9,4.6,1.0,4.9,19.3,13.7,0.7,0.9,1.6,.137,-1.9,0.1,-1.8,0.0,"$11,109,327"
DeAndre Jordan,C,33,TOT,43,19,13.0,1.8,2.9,.616,0.0,0.0,,1.8,2.9,.616,.616,0.5,0.9,.579,1.8,3.7,5.5,0.4,0.3,0.7,0.8,1.5,4.1,16.4,.621,.000,.304,15.0,30.7,22.9,4.6,1.0,4.9,19.3,13.7,0.7,0.9,1.6,.137,-1.9,0.1,-1.8,0.0,"$11,109,327"
DeAndre' Bembry,SF,27,TOT,56,20,18.3,2.2,3.9,.561,0.3,0.6,.417,1.9,3.3,.589,.595,0.4,0.6,.600,0.8,2.2,2.9,1.2,0.9,0.4,0.6,2.0,5.1,11.9,.601,.163,.158,4.5,12.6,8.6,8.6,2.3,2.2,11.6,11.2,1.1,1.1,2.2,.103,-2.1,1.4,-0.7,0.3,"$2,541,217"
DeAndre' Bembry,SF,27,TOT,56,20,18.3,2.2,3.9,.561,0.3,0.6,.417,1.9,3.3,.589,.595,0.4,0.6,.600,0.8,2.2,2.9,1.2,0.9,0.4,0.6,2.0,5.1,11.9,.601,.163,.158,4.5,12.6,8.6,8.6,2.3,2.2,11.6,11.2,1.1,1.1,2.2,.103,-2.1,1.4,-0.7,0.3,"$2,541,217"
DeMar DeRozan,PF,32,CHI,70,70,36.1,10.1,20.1,.504,0.6,1.9,.346,9.5,18.3,.520,.520,6.7,7.7,.871,0.8,4.6,5.3,5.0,0.9,0.3,2.4,2.3,27.7,23.1,.588,.092,.385,2.4,14.0,8.3,23.6,1.2,0.8,9.2,31.7,6.5,1.8,8.3,.157,3.4,-0.9,2.5,2.9,"$26,000,000"
DeMarcus Cousins,C,31,TOT,42,6,15.5,3.1,7.0,.449,0.8,2.6,.297,2.3,4.3,.541,.505,2.0,2.7,.759,1.6,4.3,5.9,1.4,0.8,0.4,1.7,2.9,9.0,18.1,.557,.380,.384,11.4,29.5,20.7,14.1,2.5,2.6,17.4,27.6,0.2,1.2,1.4,.106,-1.8,0.3,-1.5,0.1,"$1,290,481"
DeMarcus Cousins,C,31,TOT,42,6,15.5,3.1,7.0,.449,0.8,2.6,.297,2.3,4.3,.541,.505,2.0,2.7,.759,1.6,4.3,5.9,1.4,0.8,0.4,1.7,2.9,9.0,18.1,.557,.380,.384,11.4,29.5,20.7,14.1,2.5,2.6,17.4,27.6,0.2,1.2,1.4,.106,-1.8,0.3,-1.5,0.1,"$1,290,481"
Dean Wade,PF,25,CLE,51,28,19.2,1.9,4.3,.456,1.0,2.8,.359,0.9,1.5,.640,.574,0.4,0.6,.667,0.6,2.3,2.9,1.0,0.6,0.1,0.3,1.7,5.3,10.2,.584,.654,.138,3.6,13.1,8.4,7.4,1.5,0.6,6.5,11.1,1.2,1.2,2.3,.115,-1.8,1.3,-0.6,0.4,"$1,782,621"
Deandre Ayton,C,23,PHO,54,54,29.5,7.6,11.9,.644,0.1,0.3,.353,7.5,11.5,.652,.648,1.9,2.5,.748,2.6,7.5,10.0,1.4,0.7,0.7,1.5,2.4,17.2,22.5,.666,.027,.211,9.7,26.5,18.3,7.5,1.2,2.1,10.5,21.2,4.2,2.9,7.1,.214,2.5,0.5,3.1,2.0,"$12,632,950"
Dejounte Murray,PG,25,SAS,66,66,34.8,8.4,18.3,.461,1.3,4.2,.319,7.1,14.0,.504,.498,2.8,3.6,.786,1.2,7.1,8.3,9.3,2.1,0.3,2.6,2.0,21.0,22.4,.529,.231,.197,3.5,21.7,12.5,40.9,2.8,0.8,11.7,27.2,4.0,3.2,7.2,.150,3.6,1.7,5.3,4.3,"$15,428,571"
Delon Wright,SG,29,ATL,70,8,18.6,1.6,3.6,.456,0.6,1.5,.385,1.1,2.1,.507,.536,0.7,0.8,.860,0.6,2.2,2.8,2.4,1.1,0.3,0.6,0.7,4.5,13.8,.576,.416,.228,3.8,12.8,8.3,16.6,3.0,1.2,13.8,10.7,1.9,1.2,3.1,.114,-0.2,2.1,2.0,1.3,"$8,526,316"
Deni Avdija,SF,21,WAS,74,6,23.7,2.9,6.7,.428,0.9,2.9,.318,1.9,3.7,.514,.498,1.3,1.7,.767,0.6,4.5,5.1,1.8,0.7,0.5,0.9,2.3,8.0,11.6,.537,.440,.262,2.9,20.7,11.9,10.8,1.6,1.9,11.2,15.7,0.7,1.7,2.4,.066,-2.2,0.5,-1.7,0.1,"$4,692,840"
Dennis Schröder,SG-PG,28,TOT,64,29,28.7,4.9,11.3,.431,1.3,3.9,.344,3.5,7.4,.477,.490,2.5,2.9,.853,0.5,2.8,3.3,4.6,0.8,0.1,2.2,2.4,13.5,13.2,.539,.345,.254,2.0,10.4,6.3,24.5,1.4,0.4,15.1,22.6,1.1,1.9,3.0,.078,-1.4,-0.5,-1.9,0.0,"$5,890,000"
Dennis Smith Jr.,PG,24,POR,37,4,17.2,2.1,5.1,.418,0.2,0.7,.222,2.0,4.4,.451,.434,1.1,1.7,.656,0.5,1.8,2.4,3.6,1.2,0.3,1.4,1.4,5.6,13.3,.474,.143,.339,3.3,12.1,7.6,30.3,3.4,1.8,19.0,18.1,-0.1,0.6,0.5,.035,-2.8,1.1,-1.7,0.1,"$1,789,256"
Derrick Favors,C,30,OKC,39,18,16.7,2.4,4.7,.516,0.1,0.4,.125,2.4,4.3,.554,.522,0.4,0.6,.640,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3,13.6,.534,.088,.137,9.0,20.0,14.4,5.9,1.3,1.7,4.5,13.4,0.8,0.7,1.5,.108,-2.3,0.2,-2.0,0.0,"$9,720,900"
Derrick Jones Jr.,PF,24,CHI,46,8,17.5,2.0,3.8,.543,0.3,1.1,.320,1.7,2.7,.634,.590,1.0,1.3,.787,1.2,2.2,3.4,0.5,0.5,0.7,0.5,2.1,5.5,12.9,.631,.289,.353,7.6,13.9,10.8,4.1,1.3,3.2,11.1,12.3,1.3,0.8,2.1,.123,-1.7,0.7,-1.0,0.2,"$9,720,900"
Derrick Rose,PG,33,NYK,26,4,24.5,4.7,10.5,.445,1.4,3.5,.402,3.3,7.0,.467,.513,1.2,1.2,.968,0.8,2.2,3.0,4.0,0.8,0.5,1.5,0.6,12.0,17.0,.541,.336,.113,3.5,9.8,6.6,27.6,1.7,1.9,11.9,22.5,0.8,0.6,1.4,.108,2.4,-0.1,2.3,0.7,"$13,445,120"
Derrick White,SG,27,TOT,69,51,29.4,4.5,10.9,.415,1.5,5.0,.300,3.0,5.9,.514,.484,2.7,3.1,.873,0.5,3.0,3.5,5.0,0.9,0.8,1.6,2.3,13.3,14.9,.540,.460,.282,1.9,10.6,6.2,23.5,1.5,2.4,11.6,20.1,2.5,2.0,4.5,.106,0.3,0.6,0.9,1.5,"$15,178,571"
Desmond Bane,SF,23,MEM,72,72,29.9,6.7,14.6,.461,3.0,7.0,.429,3.7,7.6,.490,.563,1.8,2.0,.896,0.6,3.8,4.5,2.8,1.2,0.4,1.5,2.5,18.2,17.7,.589,.480,.137,2.1,13.6,7.8,13.7,1.9,1.2,8.6,23.2,4.4,2.6,6.9,.155,2.6,0.1,2.7,2.5,"$2,033,160"
Devin Booker,SG,25,PHO,64,64,34.4,9.6,20.7,.465,2.7,7.0,.378,7.0,13.7,.509,.529,4.6,5.3,.867,0.7,4.3,5.0,4.9,1.2,0.4,2.5,2.6,26.5,21.4,.575,.340,.256,2.2,13.2,7.9,22.8,1.7,1.0,9.6,32.0,4.1,3.1,7.3,.158,3.8,0.2,4.0,3.3,"$31,610,000"
Devin Vassell,SF,21,SAS,65,26,26.9,4.5,10.6,.422,1.8,5.2,.350,2.7,5.4,.491,.508,1.1,1.3,.824,0.6,3.7,4.3,1.8,1.0,0.6,0.8,2.1,11.8,12.9,.530,.489,.123,2.4,14.5,8.4,9.4,1.8,1.9,6.8,18.7,0.9,1.7,2.7,.073,-0.8,-0.1,-0.9,0.5,"$4,235,160"
Devontae Cacok,PF,25,SAS,11,0,8.4,1.6,2.4,.692,0.0,0.0,,1.6,2.4,.692,.692,0.4,0.6,.571,0.6,2.6,3.3,0.5,0.6,0.6,0.2,1.1,3.6,24.3,.688,.000,.269,7.8,33.4,20.4,7.7,3.6,6.3,6.4,14.2,0.3,0.2,0.5,.250,2.2,4.3,6.5,0.2,"$364,533"
Devonte' Graham,PG,26,NOP,70,61,29.4,4.0,11.2,.361,2.7,7.7,.344,1.4,3.5,.399,.480,1.6,1.9,.842,0.5,1.9,2.5,4.3,1.0,0.2,1.4,1.3,12.3,12.2,.513,.690,.170,1.9,7.4,4.6,21.1,1.6,0.5,10.6,19.7,1.5,1.2,2.7,.063,0.3,-1.2,-0.9,0.6,"$11,000,000"
Dewayne Dedmon,C,32,MIA,64,15,15.9,2.4,4.3,.558,0.3,0.7,.442,2.1,3.6,.579,.592,1.1,1.4,.775,1.6,4.2,5.8,0.7,0.3,0.6,1.0,2.6,6.2,15.8,.628,.156,.322,11.7,29.5,20.7,6.8,1.0,4.1,17.3,16.7,1.5,1.9,3.3,.158,-2.1,1.0,-1.2,0.2,"$5,256,308"
Dewayne Dedmon,C,32,MIA,64,15,15.9,2.4,4.3,.558,0.3,0.7,.442,2.1,3.6,.579,.592,1.1,1.4,.775,1.6,4.2,5.8,0.7,0.3,0.6,1.0,2.6,6.2,15.8,.628,.156,.322,11.7,29.5,20.7,6.8,1.0,4.1,17.3,16.7,1.5,1.9,3.3,.158,-2.1,1.0,-1.2,0.2,"$5,256,308"
Didi Louzada,SF,22,NOP,2,0,3.5,0.0,1.5,.000,0.0,1.5,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-1.1,.000,1.000,.000,31.0,0.0,15.7,17.2,0.0,0.0,0.0,18.4,0.0,0.0,0.0,-0.238,-4.1,-8.4,-12.5,0.0,"$1,786,878"
Dillon Brooks,SF,26,MEM,28,27,27.4,6.9,16.1,.427,1.4,4.7,.305,5.4,11.4,.476,.471,2.9,3.3,.860,0.9,2.3,3.1,2.5,1.3,0.3,1.6,3.3,18.0,15.3,.513,.291,.207,3.3,8.7,6.0,14.0,2.2,0.8,8.2,28.5,0.5,0.9,1.4,.087,-1.3,-0.6,-1.8,0.0,"$12,200,000"
Domantas Sabonis,C-PF,25,TOT,62,61,34.5,7.1,12.5,.573,0.6,2.0,.312,6.5,10.5,.623,.598,4.0,5.4,.741,3.2,8.9,12.1,5.2,1.0,0.4,3.1,3.3,18.9,22.1,.637,.162,.429,10.3,28.8,19.4,23.7,1.3,1.1,17.5,22.4,5.4,1.9,7.3,.164,3.2,0.8,4.1,3.2,"$18,562,500"
Donovan Mitchell,SG,25,UTA,62,62,33.7,9.2,20.5,.452,3.6,10.0,.360,5.7,10.5,.538,.539,3.9,4.5,.857,0.8,3.4,4.2,5.4,1.5,0.2,3.1,2.5,25.9,21.9,.577,.486,.220,2.8,10.6,6.8,27.9,2.2,0.5,12.0,33.0,4.5,2.2,6.7,.155,4.8,-0.3,4.5,3.4,"$28,103,550"
Donte DiVincenzo,SG,25,TOT,36,1,23.3,2.7,7.8,.344,1.7,5.1,.330,1.0,2.7,.371,.452,1.5,1.8,.844,1.0,2.8,3.8,2.6,1.1,0.1,1.6,1.6,8.5,10.8,.498,.652,.229,4.7,12.9,8.8,15.4,2.2,0.5,15.4,18.5,-0.1,0.7,0.6,.033,-2.0,-0.7,-2.6,-0.1,"$4,675,830"
Dorian Finney-Smith,PF,28,DAL,73,73,33.2,4.0,8.7,.457,2.0,5.4,.381,1.9,3.3,.580,.575,0.7,1.1,.667,1.6,3.3,4.9,1.8,1.1,0.5,1.1,2.3,10.7,12.0,.584,.617,.123,5.3,11.0,8.1,8.1,1.7,1.3,10.3,13.9,2.6,3.0,5.6,.111,-0.3,0.7,0.4,1.5,"$4,000,000"
Doug McDermott,PF,30,SAS,51,51,24.0,4.2,9.1,.462,2.1,5.0,.422,2.1,4.1,.512,.578,0.8,1.0,.784,0.4,1.9,2.3,1.3,0.3,0.1,0.8,1.5,11.3,11.5,.593,.551,.110,1.5,8.4,4.9,7.2,0.5,0.4,8.1,18.2,1.2,0.4,1.6,.062,-0.4,-2.2,-2.6,-0.2,"$13,750,000"
Draymond Green,PF,31,GSW,40,38,28.9,2.9,5.6,.518,0.3,1.3,.260,2.6,4.3,.593,.547,1.3,2.0,.633,1.1,6.2,7.3,7.0,1.4,1.0,3.0,2.8,7.3,14.2,.571,.225,.356,4.2,22.8,13.7,32.7,2.3,3.4,32.0,14.2,0.7,2.3,3.0,.124,-1.3,4.4,3.0,1.5,"$24,026,712"
Drew Eubanks,C,24,TOT,65,25,16.3,2.7,4.7,.586,0.0,0.2,.188,2.7,4.4,.608,.590,1.4,1.8,.759,1.8,3.4,5.2,1.2,0.4,0.6,1.1,1.5,6.9,17.9,.630,.053,.382,11.6,22.6,17.0,10.7,1.1,2.9,16.5,17.1,1.9,1.0,2.9,.132,-0.4,-0.8,-1.2,0.2,"$1,862,176"
